Street,City,State,State_name,Zip_code,LON,LAT
KAUMUALII HWY,KALAHEO,HI,Hawaii,96741,-159.5252,21.9249
FARRINGTON HWY,WAIANAE,HI,Hawaii,96792,-158.1837,21.4352
FARRINGTON HWY,KAPOLEI,HI,Hawaii,96707,-158.0785,21.3395
PAPIPI RD,EWA BEACH,HI,Hawaii,96706,-158.0134,21.3154
LEOKU ST,WAIPAHU,HI,Hawaii,96797,-158.0245,21.379
UKEE ST,WAIPAHU,HI,Hawaii,96797,-158.0017,21.4139
MEHEULA PKWY,MILILANI,HI,Hawaii,96789,-158.0221,21.4421
MEHEULA PKWY,MILILANI,HI,Hawaii,96789,-158.0078,21.4534
KAMEHAMEHA HWY,PEARL CITY,HI,Hawaii,96782,-157.9691,21.3936
MOANALUA RD,AIEA,HI,Hawaii,96701,-157.9498,21.3911
S BERETANIA ST,HONOLULU,HI,Hawaii,96814,-157.8429,21.3011
KAPAHULU AVE,HONOLULU,HI,Hawaii,96816,-157.8144,21.2813
S KING ST,HONOLULU,HI,Hawaii,96826,-157.8262,21.2939
WAIALAE AVE,HONOLULU,HI,Hawaii,96816,-157.7864,21.277
TICONDEROGA ST,PEARL HARBOR,HI,Hawaii,96860,-157.9441,21.3484
ALA LILIKOI ST,HONOLULU,HI,Hawaii,96818,-157.9132,21.3449
N SCHOOL ST,HONOLULU,HI,Hawaii,96817,-157.8691,21.3364
N KUAKINI ST,HONOLULU,HI,Hawaii,96817,-157.8576,21.3244
MOANALUA RD,AIEA,HI,Hawaii,96701,-157.9405,21.3849
WILDER AVE,HONOLULU,HI,Hawaii,96822,-157.8385,21.3058
KAMEHAMEHA HWY,KANEOHE,HI,Hawaii,96744,-157.8017,21.4175
WAILEPO ST,KAILUA,HI,Hawaii,96734,-157.7457,21.3963
KEAHOLE ST,HONOLULU,HI,Hawaii,96825,-157.708,21.2852
SADDLE CITY RD,WAIMANALO,HI,Hawaii,96795,-157.7238,21.3537
KEOLU DR,KAILUA,HI,Hawaii,96734,-157.7282,21.3777
MAHIKU PL,WAIMANALO,HI,Hawaii,96795,-157.7318,21.3493
S KIHEI RD,KIHEI,HI,Hawaii,96753,-156.4464,20.7201
PUKALANI,PUKALANI,HI,Hawaii,96788,-156.3414,20.8346
HINAU ST,LAHAINA,HI,Hawaii,96761,-156.6809,20.882
EHA ST,WAILUKU,HI,Hawaii,96793,-156.4878,20.9059
E KAAHUMANU AVE,KAHULUI,HI,Hawaii,96732,-156.4644,20.8907
