FID,NAME,Obesity,SHAPE_Length,SHAPE_Area
1,Texas,32.4,45.0474455370839,65.7786236225725
2,California,24.2,40.7559274340907,41.7301639180025
3,Kentucky,34.6,20.3483451757761,10.6656364040307
4,Georgia,30.7,17.2884481938413,14.6825544913656
5,Wisconsin,30.7,22.4288448483493,16.5129369576752
6,Oregon,30.1,24.5650411293915,28.1830159418349
7,Virginia,29.2,24.3380924759857,10.7765333971534
8,Tennessee,33.8,20.7075621570896,10.8921424910965
9,Louisiana,36.2,22.1769847937284,11.8564078131961
10,New York,25,26.2566207408926,14.0736573695902
11,Michigan,31.2,41.9933615666643,17.3599090160151
12,Idaho,28.6,27.3995417903942,24.4846250567107
13,Florida,26.8,30.8710435262943,14.2276406128441
14,Alaska,29.8,21.7304595857186,6.03682550596893
15,Montana,23.6,33.4617705604772,45.053094827013
16,Minnesota,26.1,28.8874097059534,25.5650965445614
17,Nebraska,31.4,23.0781161314047,21.6171970642862
18,Washington,26.4,24.4957579583195,21.3048709466721
19,Ohio,29.8,15.5785042789084,11.3321261321577
20,Illinois,30.8,19.0859980723495,15.4132313920604
21,Missouri,32.4,22.7159831461332,18.6039744493882
22,Iowa,32.1,18.6273447716777,15.8489554826768
23,South Dakota,30.4,22.6809077994591,22.5779862080624
24,Arkansas,34.5,17.6550390934358,13.5914106270422
25,Mississippi,35.6,17.3494994385529,11.8669365348043
26,Colorado,20.2,22.0173267102707,28.0365256448214
27,North Carolina,30.1,21.2687735134678,13.5675101760146
28,Utah,24.5,19.9974759364341,22.9773821342427
29,Oklahoma,33.9,24.4003102349887,17.9966449989115
30,Wyoming,29,21.9816709098925,27.9736118385004
31,West Virginia,35.6,16.504885509589,6.51344776153225
32,Indiana,31.3,14.7889711901419,9.88017880573662
33,Massachusetts,24.3,13.6261809971734,2.39257029513602
34,Nevada,26.7,23.5163961738253,29.9372752143396
35,Connecticut,25.3,5.71240090495005,1.40026304194255
36,District of Columbia,22.1,0.612367563599135,0.0185803689950182
37,Rhode Island,26,3.01991077899936,0.34634668223634
38,Alabama,35.6,16.9044260079384,12.8973708917445
39,Puerto Rico,29.5,5.68439642165023,0.796072722270986
40,South Carolina,31.7,13.3579480497448,7.86053655897924
41,Maine,30,17.1057222691728,10.0027712203809
42,Hawaii,22.7,0,0
43,Arizona,28.4,23.0224905999788,28.9213000472062
44,New Mexico,28.8,23.5522781539897,30.8928120876169
45,Maryland,28.9,18.2851434796153,2.86509215178354
46,Delaware,29.7,4.07803240193428,0.553716055276535
47,Pennsylvania,30,16.5632858896761,12.5374454148348
48,Kansas,34.2,21.0356586084825,22.0136273661894
49,Vermont,25.1,8.28196480673407,2.80160849170442
50,New Jersey,25.6,7.94000950878661,2.1346031290315
51,North Dakota,31,20.6334896842948,21.8420014305531
52,New Hampshire,26.3,8.06225127435718,2.68352390856884
