fips,county,state,state_code,lat,long,obesity.rate,smoking,healthy_food,Completed_High_School,Population,Unemployed,Labor.Force,X80th_Percentile_Income,X20th_Percentile_Income,Drive_Alone_to_Work,Diabetes_prevalence
1001,Autauga,Alabama,AL,32.532237,-86.64644,33,19.81076587,6.7,33076,37367,714,26172,109062,21425,85.78851228,13
1003,Baldwin,Alabama,AL,30.659218,-87.746067,30,18.51331826,7.8,137219,151112,2653,97328,116934,26666,83.76010565,10
1005,Barbour,Alabama,AL,31.870253,-85.405104,41,25.53076754,5.5,13152,17964,324,8537,74745,12495,82.11638926,18
1007,Bibb,Alabama,AL,33.015893,-87.127148,37,23.08481254,7.6,12782,16168,266,8685,84389,16869,87.05767112,14
1009,Blount,Alabama,AL,33.977358,-86.56644,33,22.95495894,7.9,32028,39791,676,25331,95721,21618,87.51959428,15
1011,Bullock,Alabama,AL,32.101759,-85.717261,47,24.90571295,5,5303,7101,175,4818,70400,12503,80.94466312,30
1013,Butler,Alabama,AL,31.751667,-86.681969,47,22.82680655,6.8,11753,13819,338,9263,83270,16618,86.04859335,20
1015,Calhoun,Alabama,AL,33.770516,-85.827909,40,21.23431781,6.6,66793,79108,1635,46209,93318,19267,84.37519859,17
1017,Chambers,Alabama,AL,32.915504,-85.394032,42,23.21615642,6.7,19417,23789,462,15748,83878,17480,86.21145681,18
1019,Cherokee,Alabama,AL,34.069515,-85.654242,38,23.55969744,7.7,15396,18874,338,11604,84157,17419,82.07805373,16
1021,Chilton,Alabama,AL,32.854051,-86.726607,42,23.43204223,7.6,24572,30046,538,19818,89957,18244,83.81509587,19
1023,Choctaw,Alabama,AL,31.990954,-88.248889,47,23.28976436,6.1,7592,9329,218,4670,86909,14739,84.61349693,18
1025,Clarke,Alabama,AL,31.685521,-87.818624,36,24.33650114,5.7,13511,16770,436,7557,90585,10905,88.43794858,25
1027,Clay,Alabama,AL,33.2704,-85.863525,37,25.23084334,7.5,7254,9459,183,6101,87481,18455,87.37401503,16
1029,Cleburne,Alabama,AL,33.671964,-85.516126,34,24.08805026,7.2,8283,10481,183,5806,85132,18074,84.57995579,14
1031,Coffee,Alabama,AL,31.402258,-85.989602,37,21.38337845,7.2,30326,35293,623,21402,107986,22192,87.04408145,16
1033,Colbert,Alabama,AL,34.703112,-87.801457,37,22.0414546,7,33176,38959,885,23646,90070,18950,89.62745882,17
1035,Conecuh,Alabama,AL,31.430926,-86.988722,42,25.84045561,5.8,7449,8833,180,4533,70778,14655,88.93657606,24
1037,Coosa,Alabama,AL,32.931445,-86.243482,45,24.60221405,6.7,6607,8259,135,4549,83863,18345,82.13496933,26
1039,Covington,Alabama,AL,31.243987,-86.448721,36,23.42499011,6.9,21958,26324,534,15653,85919,16811,88.95261505,17
1041,Crenshaw,Alabama,AL,31.730311,-86.320038,35,23.10170187,6,7674,9690,183,6476,89760,16384,80.05672753,20
